Zip Code multiple,Property,Int ID,Zip Code
IMMO Consolidation Entity (LUX),Test Bank Account,3159,IMMO Consolidation Entity (LUX)
IMMO Investment Technologies S.à r.l. (LUX),CASH IN BANK,524,IMMO Investment Technologies S.à r.l. (LUX)
IMMO Investment Technologies S.à r.l. (LUX),CASH IN BANK : IMMO LUX: Revolut - EUR,626,IMMO Investment Technologies UK Limited (UK)
IMMO Investment Technologies S.à r.l. (LUX),CASH IN BANK : IMMO LUX: Revolut - GBP,627,INSTA IMMO GmbH (GER)
IMMO Investment Technologies S.à r.l. (LUX),CASH IN BANK : IMMO LUX: Revolut - USD,628,IMMO German Service GmbH (GER)
IMMO Investment Technologies S.à r.l. (LUX),CASH IN BANK : IMMO LUX: TransferWise - EUR,629,IMMO German Property GmbH (GER)
IMMO Investment Technologies S.à r.l. (LUX),CASH IN BANK : IMMO LUX: BNP Paribas - EUR,630,IMMO German Service II GmbH (GER)
IMMO Investment Technologies UK Limited (UK),CASH IN BANK : IMMO UK: Revolut - EUR,631,IMMO German Property II GmbH (GER)
IMMO Investment Technologies UK Limited (UK),CASH IN BANK : IMMO UK: Revolut - GBP,632,IMMO Investment Technologies España S.L (SPN)
IMMO Investment Technologies UK Limited (UK),CASH IN BANK : IMMO UK: Revolut - USD,633,IMMO Capital Fund GP S.à r.l (LUX)
IMMO Investment Technologies UK Limited (UK),CASH IN BANK : IMMO UK: Cledara,634,IMMO Capital Investment Funds SCSp SICAV-RAIF (LUX)
IMMO Investment Technologies UK Limited (UK),CASH IN BANK : IMMO UK: AlphaFX - EUR,635,Carilux Investment S.à r.l (LUX)
IMMO Investment Technologies UK Limited (UK),CASH IN BANK : IMMO UK: AlphaFX - GBP,636,Matis Investment S.à r.l (LUX)
IMMO Investment Technologies UK Limited (UK),CASH IN BANK : IMMO UK: AlphaFX - AUD,637,"IMMO Central Portfolio Spain, S.L. (SPN)"
IMMO Investment Technologies UK Limited (UK),CASH IN BANK : IMMO UK: Metro - EUR,638,"IMMO IT Spain Portfolio, S.L. (SPN)"
IMMO Investment Technologies UK Limited (UK),CASH IN BANK : IMMO UK: Metro - GBP,639,IMMO Digital Solutions India Private Limited (INR)
INSTA IMMO GmbH (GER),CASH IN BANK : IMMO GER: Revolut - EUR,640,Moonstone Holdings S.à r.l (LUX)
INSTA IMMO GmbH (GER),CASH IN BANK : IMMO GER: Haspa - EUR,641,RI Nord GmbH (EUR)
INSTA IMMO GmbH (GER),CASH IN BANK : IMMO GER: Revolut - Nuveen: Renovation,642,RI Living GmbH (EUR)
INSTA IMMO GmbH (GER),CASH IN BANK : IMMO GER: Revolut - Nuveen: Security Dep.,643,Chandos Holdings UG ( IMMO managed)
IMMO German Service GmbH (GER),CASH IN BANK : IMMO German Service GmbH,644,Arcangel Assets GmbH (IMMO managed)
IMMO German Property GmbH (GER),CASH IN BANK : IMMO German Property GmbH,645,Ruscha Residential GmbH (EUR) (IMMO managed)
IMMO German Service II GmbH (GER),CASH IN BANK : IMMO German Service II,646,Exporo Bestand 46 GmbH (EUR)
IMMO German Property II GmbH (GER),CASH IN BANK : IMMO German Property II GmbH,647,TIAA General Account Housing German Property GmbH (EUR)
IMMO Investment Technologies España S.L (SPN),CASH IN BANK : IMMO SPN: Santander Bank,648,TIAA General Account Housing German Service GmbH (EUR)
IMMO Investment Technologies España S.L (SPN),CASH IN BANK : IMMO SPN: BBVA Bank,649,IMMO Service Elimination entity
IMMO Capital Fund GP S.à r.l (LUX),CASH IN BANK : IMMO Fund GP: H&A,650,IMMO Property Owning Structure (Consolidation entity)
IMMO Capital Investment Funds SCSp SICAV-RAIF (LUX),CASH IN BANK : IMMO Fund RAIF: H&A - European Cities,651,IMMO IT SPAIN ELIMINATION
IMMO Capital Investment Funds SCSp SICAV-RAIF (LUX),CASH IN BANK : IMMO Fund RAIF: H&A - German Residential,652,IMMO Central Portfolio UK Limited (UK)
Carilux Investment S.à r.l (LUX),CASH IN BANK : IMMO Carliux: Ebury,653,Matis Investment Elimination
Matis Investment S.à r.l (LUX),CASH IN BANK : IMMO Matis: Ebury,654,Matis Elimination(Moonstone)
"IMMO Central Portfolio Spain, S.L. (SPN)",CASH IN BANK : IMMO Central Portfolio: Santander,655,Moonstone Elimination(carilux)
"IMMO IT Spain Portfolio, S.L. (SPN)",CASH IN BANK : IMMO IT Spain: Santander ES48 0049 6733 2227 1629 2771,656,IMMO Investment Elimination
"IMMO IT Spain Portfolio, S.L. (SPN)",CASH IN BANK : IMMO IT Spain: BBVA 0106 2633,657,IMMO Managed Companies (Consolidation entity)
"IMMO IT Spain Portfolio, S.L. (SPN)",CASH IN BANK : IMMO IT Spain: BBVA Rent ES42 0182 2458 1302 0106 8440,658,RainMaker Investments GmbH (EUR)
"IMMO IT Spain Portfolio, S.L. (SPN)",CASH IN BANK : IMMO IT Spain: BBVA Utilities,659,Rainmaker Elimination
"IMMO IT Spain Portfolio, S.L. (SPN)",CASH IN BANK : IMMO IT Spain: BBVA Insurance & Comunity,660,Chandos Elimination (IMMO managed)
"IMMO IT Spain Portfolio, S.L. (SPN)",CASH IN BANK : IMMO IT Spain: BBVA Other,661,Nuveen HoldCo (Consolidation)
"IMMO IT Spain Portfolio, S.L. (SPN)",CASH IN BANK : IMMO IT Spain: La Caixa,662,Nuveen Elimination
IMMO Digital Solutions India Private Limited (INR),CASH IN BANK : IMMO IND: HDFC - INR,663,Consolidation Elimination
Moonstone Holdings S.à r.l (LUX),CASH IN BANK : IMMO Moonstone: AlphaFX,664,productivity subsidiary
RI Nord GmbH (EUR),CASH IN BANK : RI Nord: HVB - General,665,Test Entity
RI Nord GmbH (EUR),CASH IN BANK : RI Nord: HVB - Capex,666,IMMO Consolidation Entity (LUX)
RI Nord GmbH (EUR),CASH IN BANK : RI Nord: HVB - Purchase,667,IMMO Fund (consolidation entity)
RI Nord GmbH (EUR),CASH IN BANK : RI Nord: HVB - Renovation Security,668,Capital fund Elimination
RI Nord GmbH (EUR),CASH IN BANK : RI Nord: Revolut - General,669,IMMO Services Companies (Consolidation entity)
RI Nord GmbH (EUR),CASH IN BANK : RI Nord: Revolut - Capex,670,Chandos Holdings UG
RI Nord GmbH (EUR),CASH IN BANK : RI Nord: Revolut - Renovation Security,671,Arcangel Assets GmbH
RI Nord GmbH (EUR),CASH IN BANK : RI Nord: Haspa - General,672,Ruscha Residential GmbH
RI Nord GmbH (EUR),CASH IN BANK : RI Nord: Haspa - Loan 1,673,Chandos Elimination
RI Nord GmbH (EUR),CASH IN BANK : RI Nord: Haspa - Loan 2,674,
RI Nord GmbH (EUR),CASH IN BANK : RI Nord: Voba - General,675,
RI Nord GmbH (EUR),CASH IN BANK : RI Nord: Voba - Loan 1,676,
RI Nord GmbH (EUR),CASH IN BANK : RI Nord: Voba - Loan 2,677,
RI Nord GmbH (EUR),CASH IN BANK : RI Nord: Bausparkasse Schwäbisch Hall Loan,678,
RI Living GmbH (EUR),CASH IN BANK : RI Living: HVB - Rent & Expenses,679,
RI Living GmbH (EUR),CASH IN BANK : RI Living: HVB - Furniture,680,
RI Living GmbH (EUR),CASH IN BANK : RI Living: HVB - Tenant Deposit,681,
RI Living GmbH (EUR),CASH IN BANK : RI Living: Revolut - Rent & Expenses,682,
RI Living GmbH (EUR),CASH IN BANK : RI Living: Revolut - Furniture,683,
RI Living GmbH (EUR),CASH IN BANK : RI Living: Revolut - Tenant Deposit,684,
Chandos Holdings UG ( IMMO managed),CASH IN BANK : Chandos: Revolut - General,685,
Chandos Holdings UG ( IMMO managed),CASH IN BANK : Chandos: Haspa - General,686,
Arcangel Assets GmbH (IMMO managed),CASH IN BANK : Arcangel: Revolut - General,687,
Arcangel Assets GmbH (IMMO managed),CASH IN BANK : Arcangel: Haspa - General,688,
Arcangel Assets GmbH (IMMO managed),CASH IN BANK : Arcangel: Haspa - Loan 1,689,
Ruscha Residential GmbH (EUR) (IMMO managed),CASH IN BANK : Ruscha: Revolut - General,690,
Ruscha Residential GmbH (EUR) (IMMO managed),CASH IN BANK : Ruscha: Revolut - Tenant Deposit,691,
Ruscha Residential GmbH (EUR) (IMMO managed),CASH IN BANK : Ruscha: Haspa - General,692,
Exporo Bestand 46 GmbH (EUR),CASH IN BANK : Exporo GK,693,
Exporo Bestand 46 GmbH (EUR),CASH IN BANK : Exporo BWK,694,
TIAA General Account Housing German Property GmbH (EUR),CASH IN BANK : Nuveen: Corporate account,695,
TIAA General Account Housing German Property GmbH (EUR),CASH IN BANK : Nuveen: Outgoings account,696,
TIAA General Account Housing German Property GmbH (EUR),CASH IN BANK : Nuveen: Rent Account,697,
TIAA General Account Housing German Service GmbH (EUR),CASH IN BANK : Nuveen: OpCo - Rent Account,698,
TIAA General Account Housing German Service GmbH (EUR),CASH IN BANK : Nuveen: OpCO - Capital Account Outgoings,699,
TIAA General Account Housing German Service GmbH (EUR),CASH IN BANK : Nuveen: OpCo - Operating Account Corporate,700,
IMMO Investment Technologies S.à r.l. (LUX),CASH IN BANK : IMMO LUX: Bond Deposit USD Account,3270,
IMMO Investment Technologies S.à r.l. (LUX),CASH IN BANK : IMMO LUX: Bond Deposit EUR Account,3271,
IMMO Investment Technologies UK Limited (UK),CASH IN BANK : IMMO UK: AlphaFX - INR,3279,
IMMO Investment Technologies UK Limited (UK),CASH IN BANK : IMMO UK: AlphaFX - AED,3280,
IMMO Investment Technologies UK Limited (UK),CASH IN BANK : IMMO UK: Bond Deposit Account,3281,
IMMO Investment Technologies UK Limited (UK),CASH IN BANK : IMMO UK: Revolut - EUR INSTA,3288,
Matis Investment S.à r.l (LUX),CASH IN BANK : IMMO Matis - AlphaFX,3272,
INSTA IMMO GmbH (GER),CASH IN BANK : IMMO GER: Santander EUR,3273,
Carilux Investment S.à r.l (LUX),CASH IN BANK : IMMO Carilux: AlphaFX,3269,
IMMO Investment Technologies S.à r.l. (LUX),CASH IN BANK : IMMO LUX: TransferWise - GBP,3289,
IMMO Investment Technologies S.à r.l. (LUX),CASH IN BANK : IMMO LUX: TransferWise - USD,3290,
IMMO Investment Technologies UK Limited (UK),CASH IN BANK : IMMO Central Portfolio UK: Revolut - GBP,3291,
IMMO Investment Technologies UK Limited (UK),CASH IN BANK : IMMO UK: Santander - EUR,3276,
IMMO Investment Technologies UK Limited (UK),CASH IN BANK : IMMO UK: Santander - USD,3277,
IMMO Investment Technologies UK Limited (UK),CASH IN BANK : IMMO UK: Santander - GBP,3278,
INSTA IMMO GmbH (GER),CASH IN BANK : IMMO GER: Santander - GBP,3274,
INSTA IMMO GmbH (GER),CASH IN BANK : IMMO GER: Santander - USD,3275,
IMMO Digital Solutions India Private Limited (INR),CASH IN BANK : IMMO IND: HDFC - INR Credit Card,3292,
IMMO Investment Technologies España S.L (SPN),CASH IN BANK : IMMO SPN: BBVA - Company Card,3598,
IMMO Service Elimination entity,INVESTMENTS IN GROUP COMPANIES & ASSOCIATES,423,
IMMO Property Owning Structure (Consolidation entity),INVESTMENTS IN GROUP COMPANIES & ASSOCIATES,423,
Carilux Investment S.à r.l (LUX),INVESTMENTS IN GROUP COMPANIES & ASSOCIATES,423,
Moonstone Holdings S.à r.l (LUX),INVESTMENTS IN GROUP COMPANIES & ASSOCIATES,423,
Matis Investment S.à r.l (LUX),INVESTMENTS IN GROUP COMPANIES & ASSOCIATES,423,
"IMMO Central Portfolio Spain, S.L. (SPN)",INVESTMENTS IN GROUP COMPANIES & ASSOCIATES,423,
"IMMO IT Spain Portfolio, S.L. (SPN)",INVESTMENTS IN GROUP COMPANIES & ASSOCIATES,423,
IMMO IT SPAIN ELIMINATION,INVESTMENTS IN GROUP COMPANIES & ASSOCIATES,423,
IMMO German Service GmbH (GER),INVESTMENTS IN GROUP COMPANIES & ASSOCIATES,423,
IMMO German Property GmbH (GER),INVESTMENTS IN GROUP COMPANIES & ASSOCIATES,423,
IMMO German Service II GmbH (GER),INVESTMENTS IN GROUP COMPANIES & ASSOCIATES,423,
IMMO German Property II GmbH (GER),INVESTMENTS IN GROUP COMPANIES & ASSOCIATES,423,
IMMO Central Portfolio UK Limited (UK),INVESTMENTS IN GROUP COMPANIES & ASSOCIATES,423,
Matis Investment Elimination,INVESTMENTS IN GROUP COMPANIES & ASSOCIATES,423,
Matis Elimination(Moonstone),INVESTMENTS IN GROUP COMPANIES & ASSOCIATES,423,
Moonstone Elimination(carilux),INVESTMENTS IN GROUP COMPANIES & ASSOCIATES,423,
IMMO Investment Elimination,INVESTMENTS IN GROUP COMPANIES & ASSOCIATES,423,
IMMO Managed Companies (Consolidation entity),INVESTMENTS IN GROUP COMPANIES & ASSOCIATES,423,
RainMaker Investments GmbH (EUR),INVESTMENTS IN GROUP COMPANIES & ASSOCIATES,423,
RI Nord GmbH (EUR),INVESTMENTS IN GROUP COMPANIES & ASSOCIATES,423,
RI Living GmbH (EUR),INVESTMENTS IN GROUP COMPANIES & ASSOCIATES,423,
Rainmaker Elimination,INVESTMENTS IN GROUP COMPANIES & ASSOCIATES,423,
Chandos Holdings UG ( IMMO managed),INVESTMENTS IN GROUP COMPANIES & ASSOCIATES,423,
Arcangel Assets GmbH (IMMO managed),INVESTMENTS IN GROUP COMPANIES & ASSOCIATES,423,
Ruscha Residential GmbH (EUR) (IMMO managed),INVESTMENTS IN GROUP COMPANIES & ASSOCIATES,423,
Chandos Elimination (IMMO managed),INVESTMENTS IN GROUP COMPANIES & ASSOCIATES,423,
Nuveen HoldCo (Consolidation),INVESTMENTS IN GROUP COMPANIES & ASSOCIATES,423,
TIAA General Account Housing German Property GmbH (EUR),INVESTMENTS IN GROUP COMPANIES & ASSOCIATES,423,
TIAA General Account Housing German Service GmbH (EUR),INVESTMENTS IN GROUP COMPANIES & ASSOCIATES,423,
Nuveen Elimination,INVESTMENTS IN GROUP COMPANIES & ASSOCIATES,423,
Exporo Bestand 46 GmbH (EUR),INVESTMENTS IN GROUP COMPANIES & ASSOCIATES,423,
Consolidation Elimination,INVESTMENTS IN GROUP COMPANIES & ASSOCIATES,423,
productivity subsidiary,INVESTMENTS IN GROUP COMPANIES & ASSOCIATES,423,
Test Entity,INVESTMENTS IN GROUP COMPANIES & ASSOCIATES,423,
IMMO Consolidation Entity (LUX),INVESTMENTS IN GROUP COMPANIES & ASSOCIATES,423,
IMMO Investment Technologies S.à r.l. (LUX),INVESTMENTS IN GROUP COMPANIES & ASSOCIATES,423,
IMMO Fund (consolidation entity),INVESTMENTS IN GROUP COMPANIES & ASSOCIATES,423,
IMMO Capital Fund GP S.à r.l (LUX),INVESTMENTS IN GROUP COMPANIES & ASSOCIATES,423,
IMMO Capital Investment Funds SCSp SICAV-RAIF (LUX),INVESTMENTS IN GROUP COMPANIES & ASSOCIATES,423,
Capital fund Elimination,INVESTMENTS IN GROUP COMPANIES & ASSOCIATES,423,
IMMO Services Companies (Consolidation entity),INVESTMENTS IN GROUP COMPANIES & ASSOCIATES,423,
IMMO Investment Technologies UK Limited (UK),INVESTMENTS IN GROUP COMPANIES & ASSOCIATES,423,
INSTA IMMO GmbH (GER),INVESTMENTS IN GROUP COMPANIES & ASSOCIATES,423,
Chandos Holdings UG,INVESTMENTS IN GROUP COMPANIES & ASSOCIATES,423,
Arcangel Assets GmbH,INVESTMENTS IN GROUP COMPANIES & ASSOCIATES,423,
Ruscha Residential GmbH,INVESTMENTS IN GROUP COMPANIES & ASSOCIATES,423,
Chandos Elimination,INVESTMENTS IN GROUP COMPANIES & ASSOCIATES,423,
IMMO Investment Technologies España S.L (SPN),INVESTMENTS IN GROUP COMPANIES & ASSOCIATES,423,
IMMO Digital Solutions India Private Limited (INR),INVESTMENTS IN GROUP COMPANIES & ASSOCIATES,423,
IMMO Investment Technologies UK Limited (UK),INVESTMENTS IN GROUP COMPANIES & ASSOCIATES : Share Capital: IMMO LUX to IMMO Fund GP,2431,
IMMO Investment Technologies UK Limited (UK),INVESTMENTS IN GROUP COMPANIES & ASSOCIATES : Share Capital: LUX to Fund RAIF,2432,
IMMO Investment Technologies UK Limited (UK),INVESTMENTS IN GROUP COMPANIES & ASSOCIATES : Share Capital: IMMO LUX to Carilux,2434,
IMMO Investment Technologies UK Limited (UK),INVESTMENTS IN GROUP COMPANIES & ASSOCIATES : Share Capital: IMMO LUX to Matis,2435,
IMMO Investment Technologies UK Limited (UK),INVESTMENTS IN GROUP COMPANIES & ASSOCIATES : Share Capital: IMMO LUX to IMMO UK,2436,
IMMO Investment Technologies UK Limited (UK),INVESTMENTS IN GROUP COMPANIES & ASSOCIATES : Share Capital: IMMO LUX to IMMO GER,2437,
IMMO Investment Technologies UK Limited (UK),INVESTMENTS IN GROUP COMPANIES & ASSOCIATES : Share Capital: IMMO LUX to IMMO GER (Debt Conversion),2531,
IMMO Investment Technologies UK Limited (UK),INVESTMENTS IN GROUP COMPANIES & ASSOCIATES : Share Capital: IMMO LUX to IMMO UK (Debt Conversion),2532,
IMMO Investment Technologies UK Limited (UK),INVESTMENTS IN GROUP COMPANIES & ASSOCIATES : Share Capital: IMMO LUX to GER Property II,2440,
IMMO Investment Technologies UK Limited (UK),INVESTMENTS IN GROUP COMPANIES & ASSOCIATES : Share Capital: IMMO LUX to GER Service II,2441,
IMMO Investment Technologies UK Limited (UK),INVESTMENTS IN GROUP COMPANIES & ASSOCIATES : Share Capital: IMMO LUX to GER Service,2442,
IMMO Investment Technologies UK Limited (UK),INVESTMENTS IN GROUP COMPANIES & ASSOCIATES : Share Capital: IMMO LUX to GER Property,2443,
IMMO Investment Technologies UK Limited (UK),INVESTMENTS IN GROUP COMPANIES & ASSOCIATES : Share Capital: IMMO LUX to IMMO IND,2444,
IMMO Investment Technologies UK Limited (UK),INVESTMENTS IN GROUP COMPANIES & ASSOCIATES : Share Capital: IMMO LUX to IMMO SPN,2445,
"IMMO Central Portfolio Spain, S.L. (SPN)",INVESTMENTS IN GROUP COMPANIES & ASSOCIATES : Share Capital: Central SPN to IT Spain,2446,
IMMO Investment Technologies UK Limited (UK),INVESTMENTS IN GROUP COMPANIES & ASSOCIATES : Share Capital: IMMO LUX to Moonstone Holding,2447,
Carilux Investment S.à r.l (LUX),INVESTMENTS IN GROUP COMPANIES & ASSOCIATES : Share Capital: IMMO Carilux to Matis,3293,
Matis Investment S.à r.l (LUX),INVESTMENTS IN GROUP COMPANIES & ASSOCIATES : Share Capital: IMMO Matis to GER Property II (Alstersee 383),3294,
Matis Investment S.à r.l (LUX),INVESTMENTS IN GROUP COMPANIES & ASSOCIATES : Share Capital: IMMO Matis to GER Property (Alstersee 392),3295,
Matis Investment S.à r.l (LUX),INVESTMENTS IN GROUP COMPANIES & ASSOCIATES : Share Capital: IMMO Matis to GER Service (Alstersee 385),3296,
Matis Investment S.à r.l (LUX),INVESTMENTS IN GROUP COMPANIES & ASSOCIATES : Share Capital: IMMO Matis to GER Service II (Alstersee 384),3297,
Matis Investment S.à r.l (LUX),INVESTMENTS IN GROUP COMPANIES & ASSOCIATES : Share Capital: IMMO Matis to SPN Central,3298,
Carilux Investment S.à r.l (LUX),INVESTMENTS IN GROUP COMPANIES & ASSOCIATES : Share Capital: IMMO Carilux to Moonstone,3494,
IMMO Investment Technologies S.à r.l. (LUX),INVESTMENTS IN GROUP COMPANIES & ASSOCIATES : ESOP: IMMO LUX Equity to IMMO UK,2448,
IMMO Investment Technologies S.à r.l. (LUX),INVESTMENTS IN GROUP COMPANIES & ASSOCIATES : ESOP: IMMO LUX Equity to IMMO GER,2449,
IMMO Investment Technologies S.à r.l. (LUX),INVESTMENTS IN GROUP COMPANIES & ASSOCIATES : ESOP: IMMO LUX Equity to IMMO SPN,2450,
IMMO Investment Technologies S.à r.l. (LUX),INVESTMENTS IN GROUP COMPANIES & ASSOCIATES : ESOP: IMMO LUX Equity to IMMO IND,2451,
IMMO Investment Technologies UK Limited (UK),INVESTMENTS IN GROUP COMPANIES & ASSOCIATES : Intercompany Loan: IMMO LUX to IMMO UK,2452,
IMMO Investment Technologies UK Limited (UK),INVESTMENTS IN GROUP COMPANIES & ASSOCIATES : Intercompany Loan: IMMO LUX to RAIF,2453,
IMMO Investment Technologies UK Limited (UK),INVESTMENTS IN GROUP COMPANIES & ASSOCIATES : Intercompany Loan: IMMO LUX to IMMO SPN,2454,
IMMO Investment Technologies UK Limited (UK),INVESTMENTS IN GROUP COMPANIES & ASSOCIATES : Intercompany Loan: IMMO LUX to IT SPN,2455,
IMMO Investment Technologies UK Limited (UK),INVESTMENTS IN GROUP COMPANIES & ASSOCIATES : Intercompany Loan: IMMO LUX to Carilux,2456,
IMMO Investment Technologies UK Limited (UK),INVESTMENTS IN GROUP COMPANIES & ASSOCIATES : Intercompany Loan: IMMO LUX to Matis,2457,
IMMO Investment Technologies UK Limited (UK),INVESTMENTS IN GROUP COMPANIES & ASSOCIATES : Intercompany Loan: IMMO UK to IMMO GER,3299,
IMMO Investment Technologies UK Limited (UK),INVESTMENTS IN GROUP COMPANIES & ASSOCIATES : Intercompany Services: IMMO UK to IMMO IND (Advance Payment),3300,
IMMO Investment Technologies S.à r.l. (LUX),INVESTMENTS IN GROUP COMPANIES & ASSOCIATES : Intercompany Loan: IMMO LUX to IMMO GER,3301,
IMMO Investment Technologies S.à r.l. (LUX),INVESTMENTS IN GROUP COMPANIES & ASSOCIATES : Intercompany Loan: IMMO LUX to Birmingham Property I,3302,
IMMO Investment Technologies S.à r.l. (LUX),INVESTMENTS IN GROUP COMPANIES & ASSOCIATES : Intercompany Loan: IMMO LUX to Moonstone,3303,
IMMO Investment Technologies S.à r.l. (LUX),INVESTMENTS IN GROUP COMPANIES & ASSOCIATES : Shares in Affiliated Companies,3304,
IMMO Investment Technologies S.à r.l. (LUX),INVESTMENTS IN GROUP COMPANIES & ASSOCIATES : Share Capital: IMMO LUX (Own Shares Acquired),3305,
INSTA IMMO GmbH (GER),INVESTMENTS IN GROUP COMPANIES & ASSOCIATES : Intercompany Loan: IMMO GER to Arcangel,3306,
IMMO Investment Technologies S.à r.l. (LUX),INVESTMENTS IN GROUP COMPANIES & ASSOCIATES : Intercompany Loan: IMMO LUX to Central SPN,3495,
IMMO Investment Technologies España S.L (SPN),INVESTMENTS IN GROUP COMPANIES & ASSOCIATES : Intercompany Loan: IMMO SPN to IMMO IT,3496,
IMMO Investment Technologies España S.L (SPN),INVESTMENTS IN GROUP COMPANIES & ASSOCIATES : Intercompany Loan: IMMO SPN to IMMO Central,3497,
Chandos Holdings UG,INVESTMENTS IN GROUP COMPANIES & ASSOCIATES : Intercompany Loan: Chandos to Arcangel,3498,
Chandos Holdings UG ( IMMO managed),INVESTMENTS IN GROUP COMPANIES & ASSOCIATES : Intercompany Loan: Chandos to Arcangel,3498,
Chandos Holdings UG ( IMMO managed),INVESTMENTS IN GROUP COMPANIES & ASSOCIATES : Intercompany Loan: Chandos to Ruscha,3499,
Chandos Holdings UG,INVESTMENTS IN GROUP COMPANIES & ASSOCIATES : Intercompany Loan: Chandos to Ruscha,3499,
IMMO Investment Technologies S.à r.l. (LUX),INVESTMENTS IN GROUP COMPANIES & ASSOCIATES : Share Capital: IMMO LUX to IMMO SPN (Debt Conversion),3600,
Test Entity,ACCOUNTS RECEIVABLE,424,
Carilux Investment S.à r.l (LUX),ACCOUNTS RECEIVABLE,424,
Moonstone Holdings S.à r.l (LUX),ACCOUNTS RECEIVABLE,424,
Matis Investment S.à r.l (LUX),ACCOUNTS RECEIVABLE,424,
"IMMO Central Portfolio Spain, S.L. (SPN)",ACCOUNTS RECEIVABLE,424,
"IMMO IT Spain Portfolio, S.L. (SPN)",ACCOUNTS RECEIVABLE,424,
IMMO IT SPAIN ELIMINATION,ACCOUNTS RECEIVABLE,424,
IMMO German Service GmbH (GER),ACCOUNTS RECEIVABLE,424,
IMMO German Property GmbH (GER),ACCOUNTS RECEIVABLE,424,
IMMO German Service II GmbH (GER),ACCOUNTS RECEIVABLE,424,
IMMO German Property II GmbH (GER),ACCOUNTS RECEIVABLE,424,
IMMO Central Portfolio UK Limited (UK),ACCOUNTS RECEIVABLE,424,
Matis Investment Elimination,ACCOUNTS RECEIVABLE,424,
Matis Elimination(Moonstone),ACCOUNTS RECEIVABLE,424,
Moonstone Elimination(carilux),ACCOUNTS RECEIVABLE,424,
IMMO Investment Elimination,ACCOUNTS RECEIVABLE,424,
IMMO Managed Companies (Consolidation entity),ACCOUNTS RECEIVABLE,424,
RainMaker Investments GmbH (EUR),ACCOUNTS RECEIVABLE,424,
RI Nord GmbH (EUR),ACCOUNTS RECEIVABLE,424,
RI Living GmbH (EUR),ACCOUNTS RECEIVABLE,424,
Rainmaker Elimination,ACCOUNTS RECEIVABLE,424,
Chandos Holdings UG ( IMMO managed),ACCOUNTS RECEIVABLE,424,
Arcangel Assets GmbH (IMMO managed),ACCOUNTS RECEIVABLE,424,
Ruscha Residential GmbH (EUR) (IMMO managed),ACCOUNTS RECEIVABLE,424,
Chandos Elimination (IMMO managed),ACCOUNTS RECEIVABLE,424,
Nuveen HoldCo (Consolidation),ACCOUNTS RECEIVABLE,424,
TIAA General Account Housing German Property GmbH (EUR),ACCOUNTS RECEIVABLE,424,
TIAA General Account Housing German Service GmbH (EUR),ACCOUNTS RECEIVABLE,424,
Nuveen Elimination,ACCOUNTS RECEIVABLE,424,
Exporo Bestand 46 GmbH (EUR),ACCOUNTS RECEIVABLE,424,
Consolidation Elimination,ACCOUNTS RECEIVABLE,424,
productivity subsidiary,ACCOUNTS RECEIVABLE,424,
IMMO Investment Technologies S.à r.l. (LUX),ACCOUNTS RECEIVABLE,424,
IMMO Fund (consolidation entity),ACCOUNTS RECEIVABLE,424,
IMMO Capital Fund GP S.à r.l (LUX),ACCOUNTS RECEIVABLE,424,
IMMO Capital Investment Funds SCSp SICAV-RAIF (LUX),ACCOUNTS RECEIVABLE,424,
Capital fund Elimination,ACCOUNTS RECEIVABLE,424,
IMMO Services Companies (Consolidation entity),ACCOUNTS RECEIVABLE,424,
IMMO Investment Technologies UK Limited (UK),ACCOUNTS RECEIVABLE,424,
INSTA IMMO GmbH (GER),ACCOUNTS RECEIVABLE,424,
Chandos Holdings UG,ACCOUNTS RECEIVABLE,424,
Arcangel Assets GmbH,ACCOUNTS RECEIVABLE,424,
Ruscha Residential GmbH,ACCOUNTS RECEIVABLE,424,
Chandos Elimination,ACCOUNTS RECEIVABLE,424,
IMMO Investment Technologies España S.L (SPN),ACCOUNTS RECEIVABLE,424,
IMMO Digital Solutions India Private Limited (INR),ACCOUNTS RECEIVABLE,424,
IMMO Service Elimination entity,ACCOUNTS RECEIVABLE,424,
IMMO Property Owning Structure (Consolidation entity),ACCOUNTS RECEIVABLE,424,
IMMO Consolidation Entity (LUX),ACCOUNTS RECEIVABLE,424,
IMMO Investment Technologies S.à r.l. (LUX),ACCOUNTS RECEIVABLE : Accounts Receivable,2331,
IMMO Consolidation Entity (LUX),ACCOUNTS RECEIVABLE : Accounts Receivable,2331,
IMMO Capital Fund GP S.à r.l (LUX),ACCOUNTS RECEIVABLE : Accounts Receivable,2331,
IMMO Capital Investment Funds SCSp SICAV-RAIF (LUX),ACCOUNTS RECEIVABLE : Accounts Receivable,2331,
Capital fund Elimination,ACCOUNTS RECEIVABLE : Accounts Receivable,2331,
IMMO Services Companies (Consolidation entity),ACCOUNTS RECEIVABLE : Accounts Receivable,2331,
IMMO Investment Technologies UK Limited (UK),ACCOUNTS RECEIVABLE : Accounts Receivable,2331,
INSTA IMMO GmbH (GER),ACCOUNTS RECEIVABLE : Accounts Receivable,2331,
Chandos Holdings UG,ACCOUNTS RECEIVABLE : Accounts Receivable,2331,
Arcangel Assets GmbH,ACCOUNTS RECEIVABLE : Accounts Receivable,2331,
Ruscha Residential GmbH,ACCOUNTS RECEIVABLE : Accounts Receivable,2331,
Chandos Elimination,ACCOUNTS RECEIVABLE : Accounts Receivable,2331,
